Participant,Item,Preview,Predictability,Condition,FFD,GD
y17jyy,17,I,H,IH,206,389
y17jyy,18,I,H,IH,401,401
y17jyy,22,V,H,VH,201,201
y17jyy,23,V,H,VH,NA,NA
y17jyy,24,V,H,VH,236,236
y17jyy,25,V,H,VH,177,177
y17jyy,28,V,H,VH,NA,NA
y17jyy,29,V,H,VH,NA,NA
y17jyy,30,V,H,VH,NA,NA
y17jyy,31,V,H,VH,254,254
y17jyy,33,V,H,VH,NA,NA
y17jyy,34,V,H,VH,NA,NA
y17jyy,35,V,H,VH,146,146
y17jyy,36,V,H,VH,310,310
y17jyy,37,V,H,VH,211,211
y17jyy,38,V,H,VH,NA,NA
y17jyy,39,V,H,VH,188,188
y17jyy,41,I,L,IL,263,263
y17jyy,42,I,L,IL,NA,NA
y17jyy,44,I,L,IL,269,269
y17jyy,45,I,L,IL,289,289
y17jyy,48,I,L,IL,NA,NA
y17jyy,49,I,L,IL,193,365
y17jyy,51,I,L,IL,259,259
y17jyy,52,I,L,IL,NA,NA
y17jyy,55,I,L,IL,142,142
y17jyy,56,I,L,IL,NA,NA
y17jyy,58,I,L,IL,471,471
y17jyy,61,V,L,VL,229,229
y17jyy,62,V,L,VL,219,219
y17jyy,63,V,L,VL,NA,NA
y17jyy,64,V,L,VL,198,422
y17jyy,67,V,L,VL,NA,NA
y17jyy,71,V,L,VL,NA,NA
y17jyy,72,V,L,VL,408,408
y17jyy,73,V,L,VL,191,191
y17jyy,74,V,L,VL,NA,NA
y17jyy,75,V,L,VL,161,161
y17jyy,76,V,L,VL,216,216
y17jyy,77,V,L,VL,NA,NA
y17jyy,79,V,L,VL,194,194
y17jyy,80,V,L,VL,198,198
y18hyl,2,V,H,VH,NA,NA
y18hyl,3,V,H,VH,NA,NA
y18hyl,4,V,H,VH,126,126
y18hyl,5,V,H,VH,NA,NA
y18hyl,6,V,H,VH,234,234
y18hyl,11,V,H,VH,204,204
y18hyl,12,V,H,VH,NA,NA
y18hyl,13,V,H,VH,NA,NA
y18hyl,14,V,H,VH,129,129
y18hyl,15,V,H,VH,471,471
y18hyl,16,V,H,VH,254,254
y18hyl,17,V,H,VH,219,219
y18hyl,18,V,H,VH,191,191
y18hyl,19,V,H,VH,337,337
y18hyl,20,V,H,VH,NA,NA
y18hyl,22,I,L,IL,NA,NA
y18hyl,23,I,L,IL,203,203
y18hyl,24,I,L,IL,305,305
y18hyl,25,I,L,IL,208,419
y18hyl,26,I,L,IL,252,532
y18hyl,27,I,L,IL,300,300
y18hyl,28,I,L,IL,283,283
y18hyl,30,I,L,IL,286,508
y18hyl,31,I,L,IL,257,569
y18hyl,32,I,L,IL,350,350
y18hyl,33,I,L,IL,NA,NA
y18hyl,34,I,L,IL,301,301
y18hyl,35,I,L,IL,431,431
y18hyl,37,I,L,IL,296,576
y18hyl,38,I,L,IL,NA,NA
y18hyl,39,I,L,IL,237,450
y18hyl,41,V,L,VL,203,203
y18hyl,43,V,L,VL,312,312
y18hyl,45,V,L,VL,189,189
y18hyl,46,V,L,VL,286,286
y18hyl,47,V,L,VL,197,197
y18hyl,48,V,L,VL,283,283
y18hyl,49,V,L,VL,366,366
y18hyl,50,V,L,VL,NA,NA
y18hyl,51,V,L,VL,NA,NA
y18hyl,52,V,L,VL,199,199
y18hyl,54,V,L,VL,418,418
y18hyl,55,V,L,VL,206,378
y18hyl,56,V,L,VL,169,169
y18hyl,57,V,L,VL,NA,NA
y18hyl,58,V,L,VL,NA,NA
y18hyl,59,V,L,VL,246,246
y18hyl,60,V,L,VL,421,421
y18hyl,61,I,H,IH,311,311
y18hyl,62,I,H,IH,NA,NA
y18hyl,63,I,H,IH,NA,NA
y18hyl,64,I,H,IH,313,313
y18hyl,65,I,H,IH,294,294
y18hyl,66,I,H,IH,234,234
y18hyl,68,I,H,IH,233,436
y18hyl,69,I,H,IH,326,326
y18hyl,70,I,H,IH,201,432
y18hyl,71,I,H,IH,NA,NA
y18hyl,73,I,H,IH,412,412
y18hyl,74,I,H,IH,269,445
y18hyl,75,I,H,IH,NA,NA
y18hyl,78,I,H,IH,374,374
y18hyl,79,I,H,IH,343,343
y18hyl,80,I,H,IH,310,310
y19lhl,1,I,L,IL,367,367
y19lhl,2,I,L,IL,360,360
y19lhl,3,I,L,IL,283,283
y19lhl,4,I,L,IL,264,455
y19lhl,5,I,L,IL,397,397
y19lhl,7,I,L,IL,297,297
y19lhl,8,I,L,IL,199,199
y19lhl,9,I,L,IL,426,426
y19lhl,10,I,L,IL,211,373
y19lhl,11,I,L,IL,466,466
y19lhl,12,I,L,IL,238,238
y19lhl,13,I,L,IL,425,425
y19lhl,14,I,L,IL,285,285
y19lhl,15,I,L,IL,383,383
y19lhl,16,I,L,IL,205,361
y19lhl,17,I,L,IL,175,175
y19lhl,18,I,L,IL,486,486
y19lhl,19,I,L,IL,571,571
y19lhl,20,I,L,IL,393,393
y19lhl,21,V,L,VL,519,519
y19lhl,22,V,L,VL,272,272
y19lhl,23,V,L,VL,258,258
y19lhl,24,V,L,VL,130,130
y19lhl,25,V,L,VL,256,256
y19lhl,27,V,L,VL,NA,NA
y19lhl,28,V,L,VL,420,420
y19lhl,29,V,L,VL,295,295
y19lhl,30,V,L,VL,200,200
y19lhl,31,V,L,VL,177,177
y19lhl,33,V,L,VL,189,189
y19lhl,34,V,L,VL,160,160
y19lhl,35,V,L,VL,167,167
y19lhl,36,V,L,VL,234,234
y19lhl,38,V,L,VL,287,287
y19lhl,39,V,L,VL,NA,NA
y19lhl,40,V,L,VL,193,193
y19lhl,41,I,H,IH,493,493
y19lhl,43,I,H,IH,376,376
y19lhl,44,I,H,IH,143,143
y19lhl,45,I,H,IH,223,438
y19lhl,46,I,H,IH,420,420
y19lhl,48,I,H,IH,290,628
y19lhl,49,I,H,IH,325,325
y19lhl,50,I,H,IH,281,281
y19lhl,51,I,H,IH,330,330
y19lhl,54,I,H,IH,408,408
y19lhl,55,I,H,IH,335,335
y19lhl,56,I,H,IH,214,380
y19lhl,57,I,H,IH,283,283
y19lhl,58,I,H,IH,219,219
y19lhl,59,I,H,IH,257,257
y19lhl,61,V,H,VH,288,288
y19lhl,62,V,H,VH,274,274
y19lhl,63,V,H,VH,320,320
y19lhl,65,V,H,VH,345,345
y19lhl,66,V,H,VH,205,205
y19lhl,67,V,H,VH,179,179
y19lhl,68,V,H,VH,NA,NA
y19lhl,69,V,H,VH,290,290
y19lhl,71,V,H,VH,NA,NA
y19lhl,72,V,H,VH,NA,NA
y19lhl,73,V,H,VH,189,189
y19lhl,74,V,H,VH,201,201
y19lhl,75,V,H,VH,290,290
y19lhl,76,V,H,VH,173,173
y19lhl,77,V,H,VH,NA,NA
y19lhl,78,V,H,VH,NA,NA
y19lhl,79,V,H,VH,296,296
y19lhl,80,V,H,VH,227,227
y2,1,V,H,VH,NA,NA
y2,2,V,H,VH,NA,NA
y2,3,V,H,VH,134,134
